video_id,author,comment,like,date,topic
JTEhv7JCRF0,@iingfatmawati3471,Bapa posisi di celegon  KLO di celegon saya pengin sekolah pertanian,17,2025-05-21T08:24:56Z,Pengendalian Hama
JTEhv7JCRF0,@M4Cell2,"Asalamualaikum, untuk mengatasi cmk kerdil bagai mana cara nya.",0,2025-09-12T03:08:46Z,Pengendalian Hama
JTEhv7JCRF0,@erwintriwindardi5486,"Mau tanya pak, kalau untuk dosis campuran abamektin dan akarisida berapa pak? Dan kalau campur demolish dan samite itu ec sama ec, aman pak?",0,2025-09-10T23:44:38Z,Pengendalian Hama
JTEhv7JCRF0,@davidsitumorang4372,"Selamat siang pak, 
Mohon petunjuk pak, untuk cabe rawit usia 3 Minggu Hst,
Daunnya banyak dimakan ulat.

Kira2 apa obat nya ya pak?
🙏🙏",0,2025-09-10T05:40:40Z,Pengendalian Hama
JTEhv7JCRF0,@shijacozz244,Kalau Untuk Tomat Bisa di aplikasikan Seperti Ini pak?,0,2025-09-09T21:17:22Z,Pengendalian Hama
JTEhv7JCRF0,@Zahra-v7v9j,"Krna sya tdak trlalu paham tentang cabe ni pak.
 Sya nanam cabe merah .sma ORI .",0,2025-09-09T10:42:00Z,Pengendalian Hama
JTEhv7JCRF0,@Zahra-v7v9j,"Assalamualaikum.
Salam dari aceh tengah Takengon pak.
Bisa ke saya minta nmor WA@ 
  .",0,2025-09-09T10:41:19Z,Pengendalian Hama
JTEhv7JCRF0,@SyahiraGeporcell,"Assalamuallaikum.
Salam kenal petani negeri dari gunung prau jawa tengah",0,2025-09-09T01:00:57Z,Pengendalian Hama
JTEhv7JCRF0,@BrBrahmana-r9l,Trima kasi saran nya pak!.,0,2025-09-08T17:57:42Z,Pengendalian Hama
JTEhv7JCRF0,@DididDavidson,Terima kasih pak ilmu nya 🙏,0,2025-09-08T17:18:58Z,Pengendalian Hama
JTEhv7JCRF0,@MhmdVikyy,Terimakasih pak jara penyampaiannya sangat bagus,0,2025-09-08T12:20:06Z,Pengendalian Hama
JTEhv7JCRF0,@wagimanfbs9485,Mantap,0,2025-09-08T03:52:46Z,Pengendalian Hama
JTEhv7JCRF0,@Aldi-b9c,Kebetulan banget lagi senengnya berkebun sayuran bisa nemuan canal yg memberikan edukasi yng sangat masuk akal,0,2025-09-07T13:33:27Z,Pengendalian Hama
JTEhv7JCRF0,@AbdielSaragih-nd9gj,Om saya pake kompos bambu tanaman cabe lebih tahan keriting,0,2025-09-07T05:55:01Z,Pengendalian Hama
JTEhv7JCRF0,@dedekiprott97,pa haji mohon solusinya pa haji daun cabe saya 50 hst menguning pa haji minta solusi kalo dr hama saya cek bersih apa mungkin kekurangan unsur hara pa haji.kalo iya kirakira pake apa supaya sembuh trimksh,0,2025-09-05T12:59:06Z,Pengendalian Hama
JTEhv7JCRF0,@PeciLanggem,"Terimakasih banyak semoga ilmunya bermanfaat bagi semua petani, semoga sehat selalu 🤲🤲🤲",0,2025-09-04T13:21:52Z,Pengendalian Hama
JTEhv7JCRF0,@amrilpdg9840,Terima kasih ilmunya pak semoga bermam faat..,0,2025-09-04T11:05:28Z,Pengendalian Hama
JTEhv7JCRF0,@galawismudin3110,Pak kenapa tidak buat buku.,0,2025-09-03T15:20:50Z,Pengendalian Hama
JTEhv7JCRF0,@itayanti9739,"terimakasih pak ilmunya,,🙏",0,2025-09-01T13:24:44Z,Pengendalian Hama
JTEhv7JCRF0,@ALIMUSTAWA-u1s,Pak kalau habis sepray kalsium besoknya apa bisa langsung sepray fungisida pak?,0,2025-09-01T12:07:10Z,Pengendalian Hama
JTEhv7JCRF0,@harnopati7318,Sehat sehat pak,0,2025-08-31T09:03:07Z,Pengendalian Hama
JTEhv7JCRF0,@asepsuherman2336,Sangat bagus,0,2025-08-31T08:58:18Z,Pengendalian Hama
JTEhv7JCRF0,@adekomarudin9466,Bagus banget pa langsung saya sacrreb,0,2025-08-31T08:12:48Z,Pengendalian Hama
JTEhv7JCRF0,@IbuYayah-n7i,Bagai mana cara mengatasi Patek pada cabe,0,2025-08-28T08:16:37Z,Pengendalian Hama
JTEhv7JCRF0,@teutons12345,"Apakah bisa insek dicamour fungi spraynya,kyk regent 50sc sama mankozeb atau curacron dgn amistar top atau sebaliknya",0,2025-08-27T13:06:33Z,Pengendalian Hama
JTEhv7JCRF0,@ismiliahjamil2549,", semoga berkah selalu.amin YRB.semoga.",0,2025-08-25T23:20:21Z,Pengendalian Hama
JTEhv7JCRF0,@ismiliahjamil2549,"Alhamdulillah,amin YRB, salam hormat buat Bp yg menjelaskan secara jelas & gamblang",0,2025-08-25T23:18:37Z,Pengendalian Hama
JTEhv7JCRF0,@inanoppo2088,Kalau kriting cabe bisa sembuh tdk,0,2025-08-25T16:14:11Z,Pengendalian Hama
JTEhv7JCRF0,@OppoBeken-u3s3g,Karna minggu ini saya mau nanam cabai ori 212 pak.,0,2025-08-24T10:23:26Z,Pengendalian Hama
JTEhv7JCRF0,@OppoBeken-u3s3g,"Saya senang saran bpak kernA saya mau belajar jd petani karna sudah risen kerja dari perusahaan,jd yg mau saya tanyakan pada bapak apakah di setiap penyepraian kita tambahkan sanlaik untuk perekat pd tanam caba tersebut",0,2025-08-24T10:22:08Z,Pengendalian Hama
JTEhv7JCRF0,@rosea436,"Terimakasih pak, sehat selalu",0,2025-08-23T15:09:44Z,Pengendalian Hama
JTEhv7JCRF0,@JulianiGinting-bd1lh,👍👍,0,2025-08-23T13:05:49Z,Pengendalian Hama
JTEhv7JCRF0,@MiftahulHuda-o8w,"Semoga yang bapak sampaikan kiranya dapat imbalan pahala dari yang maha kuasa dan menambah amal zariyah buat bapak,terima kasih atas keiklasan menyampaikan paencerahan buat halayak banyak🙏🙏👍👍👍👍",0,2025-08-20T04:33:11Z,Pengendalian Hama
JTEhv7JCRF0,@jayasalam6411,Lampung bisa langsung parektek pak,1,2025-08-19T12:29:14Z,Pengendalian Hama
JTEhv7JCRF0,@nurulngawi478,"Maaf pak mau tanya
 Bolehkah insektisida dan fungisida dan ultradap dimix jadi satu?🙏",0,2025-08-19T09:46:41Z,Pengendalian Hama
JTEhv7JCRF0,@MenikSumarni-hz2cb,Masya Allah tabarokalloh sangat lengkap sy pemula yg gagal tanam cabe pak terimakasih yg tak terhingga ilmunya smg sy bisa memperbaiki masa tanam saya dan bisa panen maksimal aamiin,0,2025-08-18T23:11:40Z,Pengendalian Hama
JTEhv7JCRF0,@AkunBaru-x3p,Sangat diengerti  cara penyampaiannya Terima kasih,0,2025-08-18T22:41:07Z,Pengendalian Hama
JTEhv7JCRF0,@IhsanNudin-b8o,Bukanya  detan buat masa pegetetib to pak?,0,2025-08-16T12:53:25Z,Pengendalian Hama
JTEhv7JCRF0,@anwarmubarok4951,Kalau busuk buah yg terjadi,0,2025-08-16T07:33:02Z,Pengendalian Hama
JTEhv7JCRF0,@tuanbudidaya,Assalamualaikum pak.. apakah ada ebox atau sejenisnya yang bisa di donwload.? Sy petani pemula sedang proses penanaman cabai. Mohon bimbingan nya 🙏,0,2025-08-16T06:36:05Z,Pengendalian Hama
JTEhv7JCRF0,@MuhammadFaujan-zp7un,Trima kasiih atas ilmunnya  saya petani pemula cabe sangat terbantu dengan penjelasan bapak semoga bapak sehat selalu dan panjang umur tambah berkah rijkinya amin yarobbal alamin,0,2025-08-15T12:43:15Z,Pengendalian Hama
JTEhv7JCRF0,@akmaljuliansyah1929,"Assalamualaikum pak, cara aplikasikanya gimana itu , dan berapa dosisnya?",0,2025-08-14T20:06:25Z,Pengendalian Hama
JTEhv7JCRF0,@muhammadharman6510,Bisakah dgn pengendalian Hama cabe organik racikan,0,2025-08-13T14:10:42Z,Pengendalian Hama
JTEhv7JCRF0,@kerreen-kc7ks,"Pak Dhe mohon arahannya untuk pemakaian  antracol + insektisida,  jika  cairannya tersisa, apakah bisa digunakan lagi 4-7 hari kemudian?",0,2025-08-12T13:50:30Z,Pengendalian Hama
JTEhv7JCRF0,@Iran_TIK,Dosen ini mah.. edukatif banget,1,2025-08-11T03:26:22Z,Pengendalian Hama
JTEhv7JCRF0,@kangwayofficial1259,"Pak kalau butuh karyawan buat di kebun saya mau.  Sekalian belajar untuk bekal saya.


Rencana kedepannya saya INGIN MENJADI PETANI CABAI itu cita2 saya dari SD dan sekarang usia saya 34tahun hidup di Tangerang jualan kaki lima.
Dalam 1 tahun ini jualan saya agak menurun dan jiwa tani saya mulai menggebu2 lagi.

Mohon dengan sangat direspon pak.",0,2025-08-10T18:33:43Z,Pengendalian Hama
JTEhv7JCRF0,@yenna-l3l4e,"Mau bertanya pak, berapa jeda antara pemupukan dan penyemprotan insektisida nya? Kan sama"" dilakukan di minggu pertama.. Terima kasih",0,2025-08-10T17:27:25Z,Pengendalian Hama
JTEhv7JCRF0,@alfiandwi6810,"Pakde , pegasus dan demolis apa bisa di campur ?",0,2025-08-09T06:55:40Z,Pengendalian Hama
JTEhv7JCRF0,@imammustolih-c4p,bpak ini lumayan bgus dlam pnyampean info..ga ber tele2...sya  dr awal tanam sllu lihat vidio beliu. dn sya pemula dg 120 pohon cabe berhasil finish..penanaman yg kedua kali nya ..dn udan mulai masuk fase genertif dan sya rsa cukup aman dn trkndli,1,2025-08-08T15:13:58Z,Pengendalian Hama
JTEhv7JCRF0,@muhammadwungo1222,Saya boleh dpt no kontak?,0,2025-08-08T15:05:49Z,Pengendalian Hama
JTEhv7JCRF0,@muhammadwungo1222,Lahan yg akan saya garap ini seluas 3 H dan lahannya baru pertama kali ditanam cabe. Mohon petunjuknya pak,0,2025-08-08T15:05:27Z,Pengendalian Hama
JTEhv7JCRF0,@muhammadwungo1222,"Juga Masalah keriting daun, busuk buah dan lalat buah",0,2025-08-08T15:04:39Z,Pengendalian Hama
JTEhv7JCRF0,@muhammadwungo1222,Saya baru mulai belajar tanam cabe pak. Mohon bantuan bimbingan nya ttg pemupukan di masa Vegetatif dan Generatif,0,2025-08-08T15:03:56Z,Pengendalian Hama
JTEhv7JCRF0,@Moh.Ridwan-w1y8x,Cabe rawit dgn cabe kritingataocabe besar apa sama  pola  bufidaya nya pak prop,1,2025-08-08T07:31:34Z,Pengendalian Hama
JTEhv7JCRF0,@hernaruwiyati7620,Sangat. Senang. Dgn. Chanel. Ini. Serasa. Kuliah. Gratis.  Ditambah. Cara. Penyampaiannya. Mudah. Dipahami.  Bahasanya. Sederhana. Mudah. Dipahami. Orang. Biasa. ( pendidikan. Rendah).  Terima kasih. Pak.   Sehat. Selalu. Dan. Semakin. Berkah. Ilmunya,0,2025-08-08T02:20:24Z,Pengendalian Hama
JTEhv7JCRF0,@Aryana-f2o8y,❤❤mantap sangat jelas penyampaianya,0,2025-08-07T11:30:45Z,Pengendalian Hama
JTEhv7JCRF0,@IrsyadUbaidillah-mb2in,"Pak kalau hanya pakai 2 jenis fungisida dan insektisida(masing2 satu jenis) bagaimana pak, ini saya hanya menanam sekitar 300 tanaman cabai",0,2025-08-05T08:58:41Z,Pengendalian Hama
JTEhv7JCRF0,@breaktime273,"Untuk air lahan rawa yg asam, cuaca ekstrim kadang panas nyengat kadang hujan siang malam dan kelembaban tinggi atau ungkeb  apa boleh untuk sepray don kocor bang🙏🙏",0,2025-08-04T14:27:58Z,Pengendalian Hama
JTEhv7JCRF0,@breaktime273,Beda iklim juga beda penangananom,0,2025-08-04T14:20:37Z,Pengendalian Hama
JTEhv7JCRF0,@PessMobile-f5b,Abamectin dan akarisida lebih baik di roling pak. Saya sudah coba,0,2025-08-03T05:28:24Z,Pengendalian Hama
JTEhv7JCRF0,@niluhsujatri3366,Suksema🙏 sy coba,0,2025-08-01T23:44:34Z,Pengendalian Hama
JTEhv7JCRF0,@muslimmusliandi892,Dosis obat,0,2025-07-30T18:35:19Z,Pengendalian Hama
JTEhv7JCRF0,@IinYuniati-l7z,Maaf bukankah bahan aktif golongan azol tidak boleh d semprot masa vegetatif Krn sifatnya azol kan menghambat pertumbuhan. Koreksi sedikit aja,0,2025-07-30T01:02:58Z,Pengendalian Hama
JTEhv7JCRF0,@kicigames346,"Campuran Ditane,score,demolis bisa ga ya?",0,2025-07-28T08:45:02Z,Pengendalian Hama
JTEhv7JCRF0,@lamdaurkis6340,"Pak, itu kan yang minggu ke 3 abamectin+akarisida, itu memang harus 1 paket?, atau boleh di pisah untuk rolingan? Terimakasih 🙏",0,2025-07-27T15:32:09Z,Pengendalian Hama
